Year,SSB,Catch
1988 ,2126 ,135.301 
1989 ,3287 ,103.830 
1990 ,3562 ,86.411 
1991 ,3340 ,84.683 
1992 ,3368 ,104.448 
1993 ,3340 ,232.457 
1994 ,3471 ,479.228 
1995 ,3536 ,905.501 
1996 ,4118 ,1220.283 
1997 ,5374 ,1426.507 
1998 ,5954 ,1223.131 
1999 ,5854 ,1235.433 
2000 ,4873 ,1207.201 
2001 ,4043 ,766.136 
2002 ,3565 ,807.795 
2003 ,4189 ,789.510 
2004 ,5269 ,794.066 
2005 ,5389 ,1003.243 
2006 ,5350 ,968.958 
2007 ,6882 ,1266.993 
2008 ,6965 ,1545.656 
2009 ,6937 ,1687.373 
2010 ,6154 ,1457.014 
2011 ,5824 ,992.998 
2012 ,5673 ,825.999 
2013 ,5307 ,684.743 
2014 ,5123 ,461.306 
2015 ,4772 ,328.740 
2016 ,4220 ,383.174 
2017 ,4091 ,721.566 
2018 ,4110 ,592.899 
2019 ,3934 ,777.165 
2020 ,3393 ,720.937 
2021 ,3930 ,851.813 